Country,Year,Attack Type,Target Industry,Attack Source,Financial Loss (Millions),Number of Affected Users,Incident Resolution Time (Hours),Security Vulnerability Type,Defense Mechanism Used
Royaume-Uni,2015,Phishing,Santé,Groupe de hackers,21.25,20338,56.6,Ingénierie sociale,Analyse forensique
Japon,2015,Malware,Santé,Groupe de hackers,67.90,5798932,108.0,Mauvaise configuration,IDS/IPS
Italie,2015,Phishing,Commerce,Nation-État,43.35,1879645,8.1,Mots de passe faibles,IDS/IPS
États-Unis,2015,Malware,Gouvernement,Insider,53.49,47505,159.8,Vulnérabilité zero-day,Segmentation réseau
Allemagne,2015,Spear Phishing,Commerce,Cybercriminels,17.74,68384,35.9,Logiciels non patchés,Authentification multifacteur
Pays-Bas,2015,Phishing,Finance,Groupe de hackers,23.72,118434,148.0,Logiciels non patchés,Sauvegarde et restauration
Japon,2015,Spear Phishing,Gouvernement,Nation-État,77.73,24,40.9,Accès non autorisé,Authentification multifacteur
Allemagne,2015,Spear Phishing,Gouvernement,Cybercriminels,88.99,65356,87.3,Logiciels non patchés,Sauvegarde et restauration
Corée du Sud,2015,DDoS,Commerce,Nation-État,28.54,1088,158.9,Ingénierie sociale,EDR
Corée du Sud,2015,Malware,Technologie,Insider,67.99,106336,50.0,Ingénierie sociale,Authentification multifacteur
Mexique,2015,Injection SQL,Télécommunications,Inconnu,16.07,1567,75.6,Accès non autorisé,EDR
Japon,2015,Malware,Technologie,Inconnu,18.65,773261,164.1,Ingénierie sociale,Chiffrement
États-Unis,2015,Injection SQL,Finance,Hacktivistes,32.14,51687,10.7,API non sécurisée,EDR
Allemagne,2015,Phishing,Technologie,Groupe de hackers,42.74,79206,19.5,Accès non autorisé,IDS/IPS
Australie,2015,Phishing,Technologie,Cybercriminels,15.61,294189,18.1,Ingénierie sociale,Chiffrement
Mexique,2015,Injection SQL,Éducation,Groupe de hackers,13.53,17109,15.2,Logiciels non patchés,Formation et sensibilisation
Singapour,2015,Man-in-the-Middle,Commerce,Groupe de hackers,12.01,151001,99.8,Absence de chiffrement,Sauvegarde et restauration
Royaume-Uni,2015,Injection SQL,Finance,Nation-État,29.00,2907,40.7,Mauvaise configuration,Formation et sensibilisation
États-Unis,2015,Phishing,Gouvernement,Nation-État,1.87,13111,29.2,Accès non autorisé,Authentification multifacteur
Allemagne,2015,Malware,Santé,Insider,40.31,18965,59.9,Vulnérabilité zero-day,SIEM
Chine,2015,Malware,Technologie,Cybercriminels,10.01,914634,158.2,Ingénierie sociale,Analyse forensique
États-Unis,2015,Malware,Technologie,Hacktivistes,11.73,218511,81.7,Ingénierie sociale,Authentification multifacteur
Australie,2015,DDoS,Énergie,Hacktivistes,23.75,2067,139.9,Vulnérabilité zero-day,Formation et sensibilisation
Iran,2015,Malware,Énergie,Cybercriminels,18.49,3922,7.4,Accès non autorisé,Analyse forensique
Allemagne,2015,Spear Phishing,Finance,Groupe de hackers,62.30,36234,33.6,Absence de chiffrement,Pare-feu
Royaume-Uni,2015,Malware,Finance,Inconnu,65.35,455320,86.2,Mots de passe faibles,IDS/IPS
États-Unis,2015,Ransomware,Santé,Groupe de hackers,134.81,1232,99.4,Accès non autorisé,Chiffrement
Inde,2015,Spear Phishing,Santé,Groupe de hackers,81.73,14,135.6,API non sécurisée,Analyse forensique
Japon,2016,Zero-Day,Défense,Cybercriminels,44.17,37933,99.1,Accès non autorisé,Analyse forensique
Mexique,2016,Phishing,Éducation,Cybercriminels,20.24,7337,25.2,API non sécurisée,Authentification multifacteur
Ukraine,2016,Malware,Commerce,Nation-État,72.77,369453,148.6,Mauvaise configuration,Chiffrement
Ukraine,2016,Malware,Télécommunications,Cybercriminels,37.22,2914630,36.3,Absence de chiffrement,EDR
Ukraine,2016,Ransomware,Télécommunications,Hacktivistes,198.04,97523,535.4,API non sécurisée,Sauvegarde et restauration
États-Unis,2016,Phishing,Finance,Inconnu,56.82,4358533,10.4,Mauvaise configuration,IDS/IPS
Colombie,2016,Spear Phishing,Technologie,Nation-État,1.64,2133,37.6,Vulnérabilité zero-day,Formation et sensibilisation
Chine,2016,DDoS,Énergie,Inconnu,7.69,264553,120.6,Vulnérabilité zero-day,Pare-feu
Turquie,2016,Injection SQL,Santé,Cybercriminels,23.89,29302,133.4,Accès non autorisé,Pare-feu
Russie,2016,Malware,Transport,Cybercriminels,64.00,2688,100.9,Logiciels non patchés,Analyse forensique
Russie,2016,Phishing,Gouvernement,Groupe de hackers,19.29,1005,124.7,Mauvaise configuration,EDR
France,2016,DDoS,Finance,Nation-État,23.55,1483,81.4,API non sécurisée,Pare-feu
Royaume-Uni,2016,Phishing,Santé,Insider,11.96,47749,21.4,Mauvaise configuration,Formation et sensibilisation
Italie,2016,Phishing,Finance,Nation-État,37.76,306560,51.2,Vulnérabilité zero-day,Analyse forensique
Israël,2016,Malware,Finance,Hacktivistes,91.97,199634,10.5,Accès non autorisé,Formation et sensibilisation
Israël,2016,Spear Phishing,Commerce,Nation-État,13.66,266,54.3,Ingénierie sociale,Pare-feu
États-Unis,2016,Spear Phishing,Finance,Cybercriminels,89.79,17624,139.6,Logiciels non patchés,Segmentation réseau
Russie,2016,Man-in-the-Middle,Éducation,Insider,10.46,168333,83.5,Mots de passe faibles,Pare-feu
Colombie,2016,Zero-Day,Finance,Insider,343.40,3015037,415.6,Mauvaise configuration,Formation et sensibilisation
Colombie,2016,Ransomware,Technologie,Nation-État,204.98,11832,183.4,Mots de passe faibles,Pare-feu
Inde,2016,DDoS,Technologie,Cybercriminels,5.48,3694,5.8,Ingénierie sociale,EDR
Singapour,2016,Phishing,Énergie,Groupe de hackers,15.25,15654,142.0,Ingénierie sociale,Sauvegarde et restauration
Espagne,2016,Man-in-the-Middle,Commerce,Inconnu,28.54,53,13.6,Ingénierie sociale,Authentification multifacteur
Indonésie,2016,Injection SQL,Télécommunications,Hacktivistes,14.99,1517941,66.6,Mauvaise configuration,Formation et sensibilisation
Indonésie,2016,Phishing,Gouvernement,Insider,17.52,466,107.8,Logiciels non patchés,Segmentation réseau
Mexique,2016,Zero-Day,Gouvernement,Inconnu,159.71,1156,419.3,Absence de chiffrement,Segmentation réseau
Pays-Bas,2016,Zero-Day,Énergie,Inconnu,446.09,312,271.0,Ingénierie sociale,Analyse forensique
Allemagne,2016,Injection SQL,Gouvernement,Groupe de hackers,39.76,1504,110.5,Vulnérabilité zero-day,Pare-feu
Inde,2016,Injection SQL,Technologie,Cybercriminels,8.40,238648,51.1,Absence de chiffrement,Segmentation réseau
France,2016,Malware,Énergie,Groupe de hackers,65.25,22444,43.1,Mots de passe faibles,Authentification multifacteur
Pays-Bas,2016,Malware,Technologie,Insider,42.11,283687,39.3,Absence de chiffrement,Pare-feu
Canada,2016,Spear Phishing,Finance,Groupe de hackers,22.69,135,85.3,Absence de chiffrement,EDR
France,2016,DDoS,Télécommunications,Inconnu,22.53,2689,161.3,Mauvaise configuration,Authentification multifacteur
Corée du Sud,2016,Malware,Gouvernement,Nation-État,1.20,41135,71.4,API non sécurisée,SIEM
Japon,2016,Spear Phishing,Défense,Cybercriminels,7.71,7509,100.6,Accès non autorisé,IDS/IPS
Afrique du Sud,2016,Ransomware,Technologie,Insider,90.17,4957,457.4,Absence de chiffrement,Pare-feu
Mexique,2016,Malware,Énergie,Groupe de hackers,32.01,943631,131.8,API non sécurisée,Sauvegarde et restauration
États-Unis,2016,Ransomware,Télécommunications,Inconnu,209.92,58970,617.6,Vulnérabilité zero-day,Authentification multifacteur
Russie,2016,Injection SQL,Gouvernement,Cybercriminels,31.41,9122625,134.5,Vulnérabilité zero-day,SIEM
États-Unis,2016,Man-in-the-Middle,Technologie,Cybercriminels,18.95,34,157.9,Ingénierie sociale,SIEM
Royaume-Uni,2016,DDoS,Santé,Nation-État,31.65,135073,100.9,API non sécurisée,IDS/IPS
Nigeria,2016,Spear Phishing,Éducation,Nation-État,105.55,275,19.5,API non sécurisée,Formation et sensibilisation
Arabie Saoudite,2016,Malware,Défense,Cybercriminels,54.75,1712,69.4,Logiciels non patchés,SIEM
Royaume-Uni,2016,Spear Phishing,Télécommunications,Groupe de hackers,103.69,228,117.8,API non sécurisée,EDR
Iran,2016,Phishing,Énergie,Hacktivistes,55.62,40249,49.3,Absence de chiffrement,Analyse forensique
Chine,2016,Malware,Santé,Insider,36.55,114845,162.6,Logiciels non patchés,Pare-feu
Corée du Sud,2016,Man-in-the-Middle,Technologie,Nation-État,27.07,282,58.9,Mauvaise configuration,Pare-feu
Russie,2016,Phishing,Finance,Cybercriminels,51.83,1505141,10.4,Ingénierie sociale,IDS/IPS
Nigeria,2016,Man-in-the-Middle,Technologie,Nation-État,14.54,1721,123.4,API non sécurisée,Pare-feu
Turquie,2016,Injection SQL,Santé,Hacktivistes,20.47,12289161,56.1,Absence de chiffrement,Segmentation réseau
Mexique,2016,Phishing,Santé,Nation-État,10.90,33234,36.0,Logiciels non patchés,Segmentation réseau
Chine,2016,Phishing,Technologie,Cybercriminels,56.96,3691714,22.4,Logiciels non patchés,SIEM
Mexique,2016,DDoS,Éducation,Groupe de hackers,3.09,2190,18.6,Accès non autorisé,EDR
France,2016,Phishing,Technologie,Insider,18.88,375,98.2,Mauvaise configuration,EDR
Suède,2016,Phishing,Santé,Groupe de hackers,16.10,2371,89.7,Accès non autorisé,SIEM
Russie,2016,Phishing,Gouvernement,Nation-État,53.03,981785,136.2,Accès non autorisé,Sauvegarde et restauration
Inde,2016,Man-in-the-Middle,Transport,Groupe de hackers,7.78,548,146.4,API non sécurisée,Formation et sensibilisation
Suède,2016,DDoS,Gouvernement,Groupe de hackers,26.33,1702789,66.5,Vulnérabilité zero-day,Analyse forensique
Russie,2016,Zero-Day,Énergie,Insider,378.69,26143,51.3,API non sécurisée,Sauvegarde et restauration
Corée du Sud,2016,Ransomware,Gouvernement,Cybercriminels,211.12,33359,671.6,API non sécurisée,Sauvegarde et restauration
Inde,2016,Injection SQL,Défense,Nation-État,23.85,151831,108.8,API non sécurisée,EDR
Chine,2016,Malware,Commerce,Nation-État,65.32,35662,49.0,Mots de passe faibles,Segmentation réseau
Italie,2016,Man-in-the-Middle,Commerce,Cybercriminels,20.47,4800,72.1,API non sécurisée,IDS/IPS
États-Unis,2016,Malware,Santé,Nation-État,34.81,5987680,153.3,Absence de chiffrement,SIEM
Royaume-Uni,2016,Spear Phishing,Finance,Inconnu,3.39,5952,74.2,Accès non autorisé,Analyse forensique
Chine,2016,Spear Phishing,Finance,Groupe de hackers,101.04,7002,66.1,Logiciels non patchés,IDS/IPS
Chine,2016,Man-in-the-Middle,Télécommunications,Groupe de hackers,22.49,47,17.4,Logiciels non patchés,Analyse forensique
Ukraine,2016,Malware,Transport,Groupe de hackers,41.51,635,93.4,Accès non autorisé,Analyse forensique
Singapour,2016,Man-in-the-Middle,Gouvernement,Groupe de hackers,1.40,2376,62.3,API non sécurisée,Pare-feu
Canada,2016,Man-in-the-Middle,Éducation,Cybercriminels,22.76,90178,6.8,Absence de chiffrement,Segmentation réseau
Canada,2016,Injection SQL,Gouvernement,Cybercriminels,22.27,13496840,69.2,Absence de chiffrement,EDR
Égypte,2016,Injection SQL,Finance,Cybercriminels,31.09,8192534,58.9,Mauvaise configuration,IDS/IPS
Russie,2016,Malware,Technologie,Cybercriminels,18.96,149308,145.7,Ingénierie sociale,Authentification multifacteur
Inde,2016,Injection SQL,Défense,Nation-État,39.00,1475,47.3,Ingénierie sociale,SIEM
France,2016,Zero-Day,Éducation,Insider,480.37,18871,161.5,Vulnérabilité zero-day,Pare-feu
Italie,2016,Zero-Day,Finance,Nation-État,384.08,2379263,344.7,Accès non autorisé,Pare-feu
États-Unis,2016,Phishing,Éducation,Groupe de hackers,22.37,714890,65.4,Mauvaise configuration,Segmentation réseau
Corée du Sud,2016,DDoS,Finance,Cybercriminels,33.04,159919,113.0,Accès non autorisé,EDR
Russie,2016,DDoS,Énergie,Cybercriminels,22.02,3238,104.5,Vulnérabilité zero-day,Sauvegarde et restauration
Royaume-Uni,2016,DDoS,Gouvernement,Cybercriminels,12.27,333966,19.6,Accès non autorisé,Formation et sensibilisation
Israël,2016,Malware,Commerce,Cybercriminels,27.30,7121,43.8,Vulnérabilité zero-day,Pare-feu
Malaisie,2016,DDoS,Télécommunications,Insider,7.13,4438176,138.4,API non sécurisée,IDS/IPS
Canada,2016,Malware,Télécommunications,Nation-État,46.96,97136,123.9,Absence de chiffrement,Pare-feu
Japon,2016,Phishing,Finance,Insider,30.09,79367,65.3,Vulnérabilité zero-day,Pare-feu
Suède,2016,Malware,Commerce,Cybercriminels,67.65,1333,84.8,API non sécurisée,Chiffrement
États-Unis,2016,Injection SQL,Gouvernement,Cybercriminels,5.42,464802,105.2,Vulnérabilité zero-day,SIEM
Corée du Sud,2016,Malware,Santé,Groupe de hackers,25.46,3180664,129.5,Absence de chiffrement,Segmentation réseau
Turquie,2016,Man-in-the-Middle,Télécommunications,Nation-État,10.63,92,150.2,Mots de passe faibles,Analyse forensique
Turquie,2016,Ransomware,Gouvernement,Groupe de hackers,83.03,812,499.7,Mots de passe faibles,Analyse forensique
Italie,2016,Spear Phishing,Santé,Groupe de hackers,92.06,12,99.6,Logiciels non patchés,Sauvegarde et restauration
Mexique,2016,Malware,Télécommunications,Cybercriminels,78.40,3516857,40.7,Mauvaise configuration,Formation et sensibilisation
Australie,2016,Injection SQL,Finance,Cybercriminels,8.14,5683651,99.4,Mots de passe faibles,Formation et sensibilisation
Singapour,2016,Malware,Télécommunications,Cybercriminels,87.98,83759,155.8,Absence de chiffrement,Segmentation réseau
États-Unis,2016,Malware,Télécommunications,Insider,41.21,2730749,126.3,Ingénierie sociale,Authentification multifacteur
Inde,2016,DDoS,Énergie,Groupe de hackers,22.48,2179716,47.6,Accès non autorisé,Formation et sensibilisation
Russie,2017,Injection SQL,Télécommunications,Hacktivistes,50.39,290300,110.7,Mots de passe faibles,Chiffrement
Mexique,2017,DDoS,Énergie,Groupe de hackers,35.62,5701096,111.9,Logiciels non patchés,IDS/IPS
Malaisie,2017,Injection SQL,Finance,Insider,51.19,2083230,55.1,Absence de chiffrement,Pare-feu
Canada,2017,Ransomware,Technologie,Hacktivistes,151.78,20749,361.5,API non sécurisée,Authentification multifacteur
Chine,2017,DDoS,Commerce,Groupe de hackers,38.51,64239,115.4,Ingénierie sociale,IDS/IPS
Turquie,2017,Man-in-the-Middle,Télécommunications,Inconnu,22.58,35487,90.1,Mauvaise configuration,Formation et sensibilisation
États-Unis,2017,Injection SQL,Finance,Groupe de hackers,14.60,2383715,50.3,Accès non autorisé,IDS/IPS
France,2017,Malware,Technologie,Inconnu,36.44,1523,135.9,Ingénierie sociale,Segmentation réseau
Mexique,2017,DDoS,Transport,Cybercriminels,34.45,578238,91.9,Logiciels non patchés,SIEM
Corée du Sud,2017,Phishing,Éducation,Inconnu,55.41,240,53.9,Ingénierie sociale,IDS/IPS
France,2017,Ransomware,Télécommunications,Cybercriminels,214.48,51,411.5,Ingénierie sociale,Pare-feu
Australie,2017,Phishing,Gouvernement,Hacktivistes,31.55,557935,89.0,Logiciels non patchés,IDS/IPS
Corée du Sud,2017,Phishing,Transport,Nation-État,37.63,604170,45.0,Mots de passe faibles,IDS/IPS
Iran,2017,Phishing,Finance,Cybercriminels,10.47,239,160.9,API non sécurisée,SIEM
États-Unis,2017,Malware,Technologie,Hacktivistes,75.99,34244,114.0,Accès non autorisé,Formation et sensibilisation
Russie,2017,Malware,Finance,Insider,29.20,377465,12.3,Mots de passe faibles,EDR
Russie,2017,Phishing,Gouvernement,Nation-État,32.90,727,7.0,Mots de passe faibles,Authentification multifacteur
Allemagne,2017,Ransomware,Commerce,Cybercriminels,194.91,2898,553.3,Vulnérabilité zero-day,EDR
Israël,2017,Injection SQL,Technologie,Cybercriminels,47.24,71642,131.2,Logiciels non patchés,Pare-feu
Mexique,2017,Phishing,Énergie,Nation-État,8.95,1117,165.0,API non sécurisée,Sauvegarde et restauration
Corée du Sud,2017,Zero-Day,Santé,Nation-État,286.92,633774,202.1,Vulnérabilité zero-day,Chiffrement
États-Unis,2017,Spear Phishing,Gouvernement,Hacktivistes,112.27,11050,108.3,Vulnérabilité zero-day,SIEM
Inde,2017,Malware,Énergie,Hacktivistes,96.90,609246,13.8,API non sécurisée,Analyse forensique
Ukraine,2017,Man-in-the-Middle,Télécommunications,Nation-État,19.99,6708,11.9,Mauvaise configuration,Authentification multifacteur
France,2017,Ransomware,Finance,Inconnu,37.70,3638,385.5,Absence de chiffrement,Pare-feu
Russie,2017,Injection SQL,Gouvernement,Cybercriminels,21.94,8877430,143.1,Absence de chiffrement,Analyse forensique
États-Unis,2017,Malware,Défense,Nation-État,14.28,3955831,68.9,API non sécurisée,EDR
Royaume-Uni,2017,Malware,Santé,Groupe de hackers,60.97,90876,74.5,Vulnérabilité zero-day,SIEM
Israël,2017,Ransomware,Éducation,Insider,149.84,3396,289.5,Logiciels non patchés,EDR
Singapour,2017,Malware,Transport,Cybercriminels,20.17,86636,99.6,Logiciels non patchés,EDR
Allemagne,2017,Malware,Technologie,Groupe de hackers,49.49,342355,27.7,Mots de passe faibles,EDR
Canada,2017,Spear Phishing,Technologie,Groupe de hackers,34.97,23,19.4,Mauvaise configuration,EDR
France,2017,Man-in-the-Middle,Transport,Groupe de hackers,3.41,37,110.8,Vulnérabilité zero-day,Authentification multifacteur
Royaume-Uni,2017,Ransomware,Finance,Cybercriminels,192.73,25446,289.0,Absence de chiffrement,Formation et sensibilisation
Nigeria,2017,Malware,Défense,Hacktivistes,5.76,703664,18.1,Mauvaise configuration,Authentification multifacteur
Australie,2017,Phishing,Technologie,Hacktivistes,59.59,532,24.7,Mauvaise configuration,Authentification multifacteur
Japon,2017,Malware,Finance,Nation-État,102.14,5690,130.5,Logiciels non patchés,Segmentation réseau
Nigeria,2017,Phishing,Santé,Nation-État,9.94,806010,137.7,Logiciels non patchés,Sauvegarde et restauration
Indonésie,2017,Zero-Day,Technologie,Cybercriminels,271.90,1052394,73.1,Logiciels non patchés,Segmentation réseau
Suède,2017,Man-in-the-Middle,Commerce,Inconnu,11.69,5171,147.1,Accès non autorisé,Segmentation réseau
Pays-Bas,2017,Phishing,Technologie,Groupe de hackers,39.37,18050,104.0,Accès non autorisé,Analyse forensique
États-Unis,2017,Phishing,Technologie,Hacktivistes,51.65,2322,36.0,Logiciels non patchés,Chiffrement
Russie,2017,Phishing,Gouvernement,Hacktivistes,23.73,2217576,150.6,Accès non autorisé,IDS/IPS
Italie,2017,Spear Phishing,Défense,Hacktivistes,8.35,46668,154.8,Accès non autorisé,IDS/IPS
Pays-Bas,2017,Ransomware,Technologie,Cybercriminels,162.24,8715,265.4,Logiciels non patchés,Formation et sensibilisation
Japon,2017,Phishing,Gouvernement,Cybercriminels,56.68,11050,49.1,API non sécurisée,Pare-feu
Chine,2017,Ransomware,Gouvernement,Cybercriminels,114.15,200,446.9,Absence de chiffrement,EDR
France,2017,Zero-Day,Gouvernement,Groupe de hackers,543.40,4158255,274.5,Vulnérabilité zero-day,IDS/IPS
Royaume-Uni,2017,Malware,Énergie,Groupe de hackers,23.83,933017,59.1,API non sécurisée,EDR
Chine,2017,Ransomware,Télécommunications,Groupe de hackers,6.98,805,711.8,API non sécurisée,Chiffrement
Royaume-Uni,2017,Man-in-the-Middle,Gouvernement,Inconnu,18.35,4107,38.8,Logiciels non patchés,EDR
Russie,2017,Malware,Énergie,Hacktivistes,91.96,543454,64.2,Mauvaise configuration,Sauvegarde et restauration
Australie,2017,Spear Phishing,Énergie,Nation-État,6.04,44087,109.8,API non sécurisée,IDS/IPS
États-Unis,2017,Ransomware,Santé,Insider,241.92,992,445.9,Logiciels non patchés,Authentification multifacteur
Italie,2017,Spear Phishing,Éducation,Nation-État,48.20,64420,35.0,Absence de chiffrement,Chiffrement
États-Unis,2017,Man-in-the-Middle,Santé,Hacktivistes,3.22,19,30.0,Vulnérabilité zero-day,Segmentation réseau
Inde,2017,Spear Phishing,Énergie,Inconnu,83.11,74257,8.6,Mots de passe faibles,Chiffrement
Inde,2017,Malware,Défense,Insider,42.16,1244975,139.8,Ingénierie sociale,Segmentation réseau
Corée du Sud,2017,Ransomware,Technologie,Cybercriminels,212.07,6649,555.7,Mauvaise configuration,Chiffrement
Afrique du Sud,2017,Man-in-the-Middle,Technologie,Insider,31.55,603,41.0,Mauvaise configuration,Segmentation réseau
Chine,2017,Injection SQL,Défense,Nation-État,44.16,4695,59.7,Ingénierie sociale,SIEM
Inde,2017,Man-in-the-Middle,Finance,Inconnu,9.64,30619,45.7,Accès non autorisé,Authentification multifacteur
Allemagne,2017,Malware,Gouvernement,Cybercriminels,42.57,83211,140.7,Vulnérabilité zero-day,SIEM
Nigeria,2017,Zero-Day,Éducation,Nation-État,62.19,69673,323.9,Logiciels non patchés,EDR
Russie,2017,Ransomware,Éducation,Groupe de hackers,69.05,82108,97.9,Mauvaise configuration,Chiffrement
Égypte,2017,DDoS,Technologie,Inconnu,9.81,347693,14.6,Accès non autorisé,Authentification multifacteur
Australie,2017,Malware,Transport,Cybercriminels,27.27,5544,92.9,Vulnérabilité zero-day,EDR
Ukraine,2017,Phishing,Finance,Groupe de hackers,52.24,51811,44.8,Mauvaise configuration,Pare-feu
États-Unis,2017,Man-in-the-Middle,Télécommunications,Nation-État,24.09,5378,14.4,Logiciels non patchés,Sauvegarde et restauration
Afrique du Sud,2017,Zero-Day,Commerce,Cybercriminels,336.53,1264938,334.8,Absence de chiffrement,Authentification multifacteur
Royaume-Uni,2017,Injection SQL,Commerce,Nation-État,5.93,3350804,135.6,Mots de passe faibles,SIEM
Russie,2017,DDoS,Finance,Inconnu,3.14,261001,123.3,Mots de passe faibles,Sauvegarde et restauration
Colombie,2017,Injection SQL,Éducation,Nation-État,41.49,5506,25.2,Accès non autorisé,IDS/IPS
Suède,2017,Injection SQL,Finance,Insider,16.33,757059,79.6,Ingénierie sociale,SIEM
